;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
110; 113 Rue Du Haut Chemin;50710;Créances ;49.198544;-1.566994;4.65;1.59;1.43;2.45;;;1.25
111; 113 Rue Isambard;27120;Pacy-sur-Eure ;49.01422;1.38532;4.65;1.65;1.59;2.45;2.99;2.29;1.29
112; 115 Chemin Fontales;82140;Saint-Antonin-Noble-Val ;44.1496362;1.748832499999935;4.87;1.87;1.99;2.45;;2.1;1.25
113; 115 Rue De Vaugirard;75015;Paris ;48.8446412;2.319285;5.54;2.03;2.16;;3.66;2.32;1.64
114; 115-117 Rue Saint Antoine;75004;Paris -St Antoin 115 ;48.854986;2.360753;5.54;2.03;2.16;;3.66;2.32;1.64
115; 116 Grande Rue;67700;Saverne ;48.770316;7.367399;5.58;1.95;;;3.6;2.75;1.45
116; 119 Rue Du Couedic;29300;Quimperlé ;47.87982;-3.55435;4.65;1.49;1.55;;2.89;1.79;1.25
117; 12 Avenue Henri Guillaumet;31500;Toulouse ;43.613337;1.466059;4.65;1.65;1.49;;2.99;4.3;1.29
118; 12 Cours Pierre Didier;26100;Romans-sur-Isère ;45.0459796;5.04837329999998;5.77;2.15;2.07;3.13;3.72;2.42;1.58
119; 12 Place Du Docteur Queinnec;56140;Malestroit ;47.8102939;-2.384354;5.14;2.16;1.84;;3.1;;
120; 12 Rue Arnoult Carrefour De L'europe;21700;Nuits-Saint-Georges ;47.13369;4.96874;4.65;1.59;1.39;2.21;2.95;2.09;1.25
121; 12 Rue Carnot;62480;Le Portel ;50.707556;1.575166;5.32;2.13;;;3.5;;1.4
122; 12 Rue De Chateaudun;75009;Paris ;48.876017;2.34045;5.54;;;;3.66;2.32;1.64
123; 12 Rue De L'aurore;78100;Saint-Germain-en-Laye ;48.89424;2.07031;;1.49;;2.21;2.89;1.79;1.25
124; 12 Rue De Nisceville;77570;Château-Landon ;48.145858;2.695156;4.65;1.59;1.65;;2.99;2.15;1.35
125; 12 Rue Du General De Gaulle 0;58000;Nevers ;46.98831;3.15477;5.26;2.01;2.01;2.95;3.38;2.2;1.52
126; 12 Rue Faubourg St Denis;75010;Paris ;48.8703392;2.3530158;5.54;2.03;2.16;2.85;;2.32;
127; 12 Rue Gambetta;58600;Fourchambault ;47.013997;3.082861;;1.96;1.96;2.76;2.99;2.12;1.33
128; 12 Rue Leon Blum;76300;Sotteville-lès-Rouen ;49.423337;1.088671;5.09;2.16;1.84;2.67;3.1;2.32;1.27
129; 12 Rue Louis Mehu;29120;Plomeur ;47.84166;-4.28309;4.65;1.59;1.55;;2.95;1.99;
130; 12-14 Rue D'ariane;77700;Chessy ;48.857243;2.772231;6.5;1.96;2.09;;3.58;2.25;1.6
131; 120 B R.Du 14juillet;17740;Sainte-Marie-de-Ré ;46.151627;-1.312062;4.99;;1.8;2.65;3.06;2.29;1.26
132; 121 Rue Henri Bantegnies;59233;Maing ;50.312575;3.492018;4.76;1.52;1.7;2.42;;2.08;1.22
133; 122 Boulevard Wilson;06160;Juan Les Pins ;43.570005;7.1140754;5.26;;2.03;2.95;3.38;2.2;1.52
134; 122 Rue De La Convention;75015;Paris ;48.840525;2.288994;5.39;1.96;;2.85;;;
135; 123 Av Felix Faure;75015;Paris ;48.8380164;2.2810867;5.54;;2.16;2.85;3.66;;1.64
136; 126 Boulevard De Plymouth Cc Iroise;29200;Brest ;48.388175;-4.526732;;1.49;1.55;2.39;2.89;2.15;
137; 126 Chemin De Rosiere;38300;Ruy-Montceau ;45.58935;5.29686;4.65;1.49;1.55;;2.89;1.99;1.25
138; 126 Rue Jean Monnet Les Pres Pisieux;77120;Mouroux ;48.817112;3.051857;4.65;1.59;;;2.99;;1.25
139; 127 Route De Grasse;06600;Antibes ;43.591376;7.104121;4.65;1.65;1.65;2.28;2.99;2.39;1.35
140; 127-129 R De Lille;59300;Valenciennes ;50.3617526;3.5219866;5.13;2.14;1.82;;3.25;2.21;
141; 127/131rue Chem/Vert;75011;Paris ;48.862301;2.384714;5.54;2.03;2.16;2.85;3.66;;1.64
142; 128-142 Rue Fondaudege;33000;Bordeaux ;44.848172;-0.586722;;1.65;1.65;2.33;2.99;2.59;1.39
143; 12b Rue Sadi Carnot;76710;Montville -Carnot ;49.549535;1.074489;4.99;2.14;1.52;2.57;3.06;2.29;1.26
144; 12p De Maire Fouche;78790;Septeuil ;48.8928;1.68058;5.32;1.88;2.04;2.61;3.13;2.17;1.3
145; 13 Allee Des Soudanes;78430;Louveciennes ;48.863413;2.1258321;5.54;2.03;2.16;2.85;3.66;2.32;1.64
146; 13 Avenue Jean Moulin;27190;Conches-en-Ouche ;48.95825;0.93542;4.65;1.59;1.55;;2.93;2.09;1.34
147; 13 Bis Rue De Trepail 0;51150;Bouzy ;49.0793142;4.1510784;5.65;1.95;;3.05;;2.65;
